,Transportation,Speed
0,car_1,19.211
1,car_2,30.848
2,car_3,25.807
3,car_4,1.347
4,car_5,36.851
5,car_6,15.041
6,car_7,14.44
7,car_8,9.452
8,car_9,9.452
9,car_10,16.264
10,car_11,21.224
11,car_12,8.686
12,car_13,54.996
13,car_14,54.996
14,car_15,14.534
15,car_16,10.288
16,car_17,18.328
17,car_18,17.178
18,car_19,17.098
19,car_20,32.521
20,car_21,19.935
21,car_22,21.514
22,car_23,27.526
23,car_24,28.105
24,car_25,22.322
25,car_26,22.322
26,car_27,32.377
27,car_28,22.378
28,car_29,24.908
29,car_30,0.066
30,car_31,83.328
31,car_32,83.328
32,car_33,19.833
33,car_34,16.893
34,car_35,20.583
35,car_36,0.307
36,car_37,0.307
37,car_38,21.672
38,car_39,21.672
39,car_40,33.201
40,car_41,33.201
41,car_42,26.896
42,car_43,26.896
43,car_44,31.085
44,car_45,31.085
45,car_46,0.462
46,car_47,0.777
47,car_48,1.283
48,car_49,1.488
49,car_50,23.051
50,car_51,21.239
51,car_52,21.301
52,car_53,24.431
53,car_54,17.928
54,car_55,0.728
55,car_56,0.255
56,car_57,0.92
57,car_58,0.06
58,car_59,0.067
59,car_60,13.469
60,car_61,0.126
61,car_62,6.77
62,car_63,22.468
63,car_64,14.712
64,car_65,0.367
65,car_66,13.558
66,car_67,25.958
67,car_68,25.958
68,car_69,1.414
69,car_70,30.397
70,car_71,6.76
71,car_72,25.655
72,car_73,17.654
73,car_74,14.631
74,car_75,9.077
75,car_76,25.451
76,car_77,25.451
77,car_78,36.647
78,car_79,31.367
79,car_80,25.562
80,car_81,38.028
81,car_82,28.142
82,car_83,21.812
83,car_84,23.829
84,car_85,28.337
85,car_86,30.052
86,car_87,30.174
